Feature	GM23913_day0-1	GM23913_day0-2	GM23913_day0-3	GM23913_day14-1	GM23913_day14-2	GM23913_day14-3	GM23913_day21-1	GM23913_day21-2	GM23913_day21-3	GM23913_day35-1	GM23913_day35-2	GM23913_day35-3	GM23913_day60-1	GM23913_day60-2	GM23913_day60-3	GM25256_day0-1	GM25256_day0-2	GM25256_day0-3	GM25256_day14-1	GM25256_day14-2	GM25256_day14-3	GM25256_day21-1	GM25256_day21-2	GM25256_day21-3	GM25256_day35-1	GM25256_day35-2	GM25256_day35-3	GM25256_day60-1	GM25256_day60-2	GM25256_day60-3	NCRM_day0-1	NCRM_day0-2	NCRM_day0-3	NCRM_day14-1	NCRM_day14-2	NCRM_day14-3	NCRM_day21-1	NCRM_day21-2	NCRM_day21-3	NCRM_day35-1	NCRM_day35-2	NCRM_day35-3	NCRM_day60-1	NCRM_day60-2	NCRM_day60-3
NANOGNBP3	2.86689	0	0	0	0	1.72379	0	2.88634	1.16542	1.27778	0	0	1.73878	0	1.67549	3.97692	2.88562	0.896407	0.429063	0.349377	1.48038	0.667837	1.7587	0.837104	1.42615	0.706305	0.631302	1.80231	2.55104	3.00981	2.16684	3.27736	1.40351	0	0	2.65293	0	1.56163	2.17909	0	0	1.05302	0	0	2.08526
NANOGP8	847.816	942.467	923.781	1.77945	0	3.44758	0	0	1.16542	0	0	0	0	0	0	134.42	167.943	150.596	0.429063	0	1.11029	0.667837	0	0	0.713077	0	0	0.60077	0	0	572.046	541.175	718.599	0	2.14563	1.32646	0	0	2.17909	0	0	0	0	0	3.12789
NEUROD1	0.260626	0	0	108.547	79.6661	37.9233	568.011	660.971	657.295	146.944	282.907	349.615	243.429	153.417	266.403	0.795385	0	3.13743	217.106	218.71	207.254	317.223	630.785	246.527	173.991	117.953	118.053	180.832	274.236	194.885	3.25026	2.45802	2.10527	710.219	641.543	730.882	1540.72	1948.91	2154.03	500.105	290.049	288.527	494.946	359.457	396.2
NFIA	93.0435	97.9531	49.2087	62.2809	85.7943	68.9515	6.80253	2.88634	5.82708	1786.33	1273.08	1264.59	3095.03	2442.99	2077.61	128.057	123.505	145.666	12.4428	13.9751	17.3945	78.8048	42.2087	117.195	2435.16	1767.88	1856.66	2554.47	2117.36	1445.08	215.601	210.161	208.422	24.5326	24.6747	39.7939	68.2869	67.15	51.2086	2027.79	2149.19	2091.3	2066.57	1940.58	1129.17
NFIA-AS2	1.82438	0	2.23676	0	0	0	0	0	0	3.83333	11.9298	7.7981	193.004	148.414	117.284	0	0.577125	0.896407	0.858126	0.698754	2.22058	71.4586	41.6225	41.4366	15.6877	14.8324	9.46953	85.9101	106.506	146.352	1.08342	0.819341	2.80703	2.45326	0	2.65293	5.69057	3.12326	8.71635	8.70829	11.319	14.7423	89.1371	65.5766	39.62
OTX2	641.401	606.25	693.395	0	0	0	0	0	1.16542	0	1.70426	0	3.47756	0	3.35099	3528.33	3762.28	3889.96	59.6398	75.116	77.35	70.7907	21.6906	55.2489	19.9662	37.4342	19.5704	3.00385	10.8419	2.63358	1296.85	1106.11	915.793	15.9462	12.8738	11.9382	5.69057	3.12326	1.08954	1.24404	2.82975	2.10604	18.7657	4.85753	7.29842
OTX2-AS1	0.260626	0	0	0	0	0	0	0	0	0	0	0	0	1.66757	0	3.18154	1.15425	2.68922	1.28719	0.349377	2.59067	0	1.17246	0.837104	1.42615	0.706305	1.2626	0	0.637759	0.752452	0	1.22901	0	0	0	0	0	0	0	0	0	0	2.34571	0	0
PAX2	0.781878	5.29476	0	26.6918	22.4699	25.8568	926.844	798.072	622.332	2751.06	2869.97	2924.29	2870.72	2749.83	2645.6	1.59077	0.577125	0.448204	210.67	213.819	278.682	78.8048	166.49	120.124	1245.75	1070.76	1167.91	1342.72	969.394	806.628	1.08342	3.68704	0.701757	244.099	244.602	287.843	1677.3	1466.37	971.874	5896.76	4940.74	4703.84	3075.23	3941.88	3471.96
PAX6	10.425	5.29476	11.1838	1106.82	1256.27	830.866	9304.16	9100.62	9538.93	4022.44	4734.43	5046.67	1594.46	1255.68	1737.49	1.59077	3.46275	0.448204	603.692	519.873	487.786	855.499	1720.59	1005.36	2033.7	2059.59	1887.59	1408.8	1133.3	1268.26	7.58394	9.83209	7.01757	2011.67	2001.87	1914.09	6589.68	6113.77	5148.1	2076.3	1789.81	2270.31	626.306	927.788	806.997
POU5F1	44319.2	43591.8	48884.4	32.0302	16.3418	39.6471	10.2038	7.21584	6.9925	3.83333	0	5.19873	10.4327	6.67029	6.70197	31589.5	33277	31523.5	23.1694	45.419	25.1665	6.67837	5.86232	10.8824	7.84385	1.41261	1.89391	5.40693	7.01535	9.40564	44042.1	41672.1	41711.7	66.238	80.4611	35.8145	24.1849	23.4244	9.8059	2.48808	1.41487	6.31812	0	7.28629	86.5384
