Gene	GM23913_day0_htseq_counts	GM23913_day14_htseq_counts	GM23913_day21_htseq_counts	GM23913_day35_htseq_counts	GM23913_day60_htseq_counts	GM25256_day0_htseq_counts	GM25256_day14_htseq_counts	GM25256_day21_htseq_counts	GM25256_day35_htseq_counts	GM25256_day60_htseq_counts	NCRM_day0_htseq_counts	NCRM_day14_htseq_counts	NCRM_day21_htseq_counts	NCRM_day35_htseq_counts	NCRM_day60_htseq_counts
ABLIM2	328	29	203	317	697	207	278	377	361	1160	259	141	302	638	1286
ABLIM3	303	8	16	614	4110	226	146	476	689	6745	194	46	158	3642	7497
ABO	32	11	8	10	44	182	12	17	14	80	39	2	2	12	26
ABR	9653	4895	5768	10458	7762	9530	19899	12745	20457	19013	10359	7405	9801	17879	15890
ABRA	0	0	2	0	1	0	1	1	2	2	0	0	0	1	0
ABRACL	23250	6073	5420	2012	1418	13689	20332	13610	2402	5036	16502	5818	2556	1797	726
ABRAXAS1	5101	2009	1680	1222	420	5415	9166	4792	2825	2580	4812	2623	1187	498	165
ABRAXAS2	4230	1848	2222	2364	1874	4679	7301	5401	4778	6741	4294	2513	1933	2588	1952
ABT1	5598	2171	3673	2877	1227	5286	10254	11920	5333	5527	5463	2902	2723	1627	779
ABTB1	644	146	197	62	166	578	556	525	113	566	473	144	179	41	117
ABTB2	1434	147	424	2187	888	1319	647	1155	2234	1848	1610	187	1355	1759	1553
ACAA1	2071	357	519	748	702	1927	1603	1478	1463	2623	1929	570	594	600	595
ACAA2	19990	2474	4964	3317	2250	21630	9753	16736	8174	10475	20191	3718	4898	1909	1272
ACACA	43953	14260	7633	8268	5833	32240	51870	13835	16883	12688	45833	18883	11283	15423	11589
ACACB	2631	414	468	284	229	4143	1688	1073	1024	903	3110	564	607	178	194
ACAD10	2706	1037	1206	953	567	4627	5586	2823	2156	2376	3324	1741	1131	892	470
ACAD11	106	25	55	29	42	141	190	95	82	217	72	38	26	24	40
ACAD8	9966	1051	1491	1387	1760	9047	5681	4529	3065	6734	9357	1530	1537	2016	1335
ACAD9	3785	1481	1586	1469	825	3802	8082	4333	3505	2535	3585	2500	1771	940	774
ACADL	83	10	16	8	16	231	35	42	66	190	68	1	5	11	6
ACADM	10719	2860	6842	5209	3038	11434	15671	21156	10832	12237	10040	4847	5303	2121	1313
ACADS	765	81	189	143	275	1596	482	478	147	709	865	137	138	89	135
ACADSB	2109	877	1996	1642	1448	6465	5798	6584	4311	6586	5520	1551	2016	1697	1099
ACADVL	9459	4187	6501	2693	3672	14264	27970	21657	8446	16307	11037	7412	5415	2814	3455
ACAN	1183	54	32	24	28	746	93	12	5	2	491	67	21	91	80
ACAP1	4558	82	286	169	318	4320	454	530	335	1112	3450	100	129	269	223
ACAP2	10865	3513	3992	2731	2246	12154	23513	9599	7464	10100	11356	6780	3686	3252	2625
