"",baseMean,log2FoldChange,lfcSE,pvalue,padj,GM25256_day0-1,GM25256_day0-2,GM25256_day0-3,NCRM_day0-1,NCRM_day0-2,NCRM_day0-3,GM25256_day60-1,GM25256_day60-2,GM25256_day60-3,NCRM_day60-1,NCRM_day60-2,NCRM_day60-3
LAG3,26.200782031561,-3.75306370310974,0.37064395158511,4.13019448887021e-24,4.50155570535456e-23,47.2029523012293,58.6204990956883,69.5971075068311,79.0714251859247,87.6871992061288,78.4959585470523,5.04009282049436,6.01615072934121,7.31829947130141,0,2.93007473243303,2.5381594477263
SMC1B,12.2718328470235,-3.75948588936458,0.576411427942871,1.73372122362349e-11,8.35942201615023e-11,57.0369006973188,77.9223707491466,60.2070215733698,14.9963047766409,21.5372068225579,29.9872201190986,5.76010608056499,0.752018841167651,4.30488204194201,2.84030810446082,0,1.26907972386315
P2RX2,26.6525329116465,-3.76017870584803,0.555598885113499,7.68889161438443e-13,4.0976653071468e-12,109.156827196593,80.0670231550864,120.41404314674,50.442116066883,46.6639481155422,28.2232659944458,2.16003978021187,2.25605652350295,7.74878767549561,17.0418486267649,0,2.5381594477263
DIAPH3,700.51899200155,-3.7662696727963,0.361368823943644,2.30596516007583e-26,2.82231577900488e-25,1416.08856903688,1609.20418859017,1476.45292353777,1775.01716538059,1793.7416539359,1735.73085865842,126.002320512359,194.020861021254,176.500163719622,73.8480107159814,73.2518683108257,35.5342322681682
FANCD2OS,1.70465673369395,-3.76629755999032,1.38935188615731,0.000174688719776756,0.000429241113371713,2.95018451882683,1.42976827062654,6.07593795694557,8.17980260544049,2.56395319316166,3.52790824930572,0,0.752018841167651,0,0,0,0
PRICKLE3,81.7572272087876,-3.76645230259352,0.242883747932308,7.37236217827121e-55,3.15341272859647e-53,274.367160250895,241.630837735886,256.294110183886,313.559099875219,258.446481870695,194.034953711815,20.1603712819775,23.3125840761972,15.9280635551854,8.52092431338247,17.5804483945982,20.3052755818104
NCAPG2,2655.47041904377,-3.76649738176979,0.259433336052062,8.49140764609338e-49,2.80344463491626e-47,7052.90778967535,6137.99518579975,6519.4814278026,6355.70662442726,6655.50969880904,6109.45511073518,513.369454430355,617.407468598642,386.147919162198,485.692685862801,407.280387808191,378.185757711219
FKBP6,2.15139076483821,-3.76680611472526,0.972254953370983,6.23535021659471e-06,1.82836074814903e-05,3.93357935843578,5.71907308250617,9.9424439295473,4.08990130272024,11.2813940499113,13.2296559348965,0,0,0.860976408388402,0,0,1.26907972386315
KIFC1,2474.99856188519,-3.7679047784597,0.464829515978492,4.8523110907034e-17,3.44273043908438e-16,3849.99079706902,3417.14616679744,3466.04642543941,4714.2929016022,4602.80877236381,3499.68498331128,390.967200218349,491.820322123644,455.887008241659,133.494480909659,73.2518683108257,55.8395078499786
GATA5,18.6204101217036,-3.76964839574465,0.894086987870917,1.55944561104704e-06,4.87187715862057e-06,13.7675277545252,8.57860962375926,21.5419618473525,36.8091117244822,39.4848791746896,40.5709448670158,0,2.25605652350295,0.860976408388402,0,2.93007473243303,3.80723917158945
CA4,42.4514069933169,-3.77069099657142,0.451078285580515,4.87458286273719e-17,3.45778551157237e-16,76.7047974894976,68.6288769900741,71.254181495089,102.247532568006,116.403474969539,95.2535227312545,7.92014586077686,9.77624493517946,9.47074049227242,0,0,1.26907972386315
CLPSL2,6.88549129186233,-3.77347582807695,0.560112660876184,5.94142964700787e-12,2.96665091813662e-11,24.5848709902236,37.1739750362901,40.3221337142752,21.8128069478413,14.8709285203376,30.8691971814251,2.16003978021187,2.25605652350295,2.5829292251652,0,0,1.26907972386315
NUP210,2459.91050891302,-3.77553644769809,0.318765604840172,1.65555440996366e-33,2.93180390120249e-32,5906.26940669132,5749.81310032464,5816.32969878517,5564.99237256801,6162.71789508337,6053.00857874629,377.286948277007,392.553835089514,195.872132908361,596.464701936773,439.511209864954,480.981215344134
SLC26A5,2.05876937665076,-3.77731232741172,1.40080760897914,0.000193434460917762,0.000472194548647432,16.7177122733521,7.14884135313271,7.1806539491175,9.54310303968057,5.12790638632332,7.93779356093787,0,0,0,0,0,2.5381594477263
IQGAP3,905.810599729957,-3.77738133141754,0.489877161599253,1.34887506002854e-15,8.69175082815568e-15,1693.4059138066,1526.27762889383,1692.97725800347,1525.53318591465,1630.16144021218,1473.78367114747,155.522864175255,221.845558144457,149.809895059582,51.1255458802948,41.0210462540624,19.0361958579473
IGF2BP3,5538.83719216445,-3.78134309514723,0.196815963819462,4.59243195868227e-83,4.64188891823731e-81,11825.3229462976,11526.0769136559,11600.0702758013,10377.4429054355,10601.9464537235,10740.7166650113,925.217039190751,901.670590560014,860.545920184207,687.354561279519,738.378832573123,675.150413095196
FHOD1,449.312084752202,-3.78142417111524,0.152193138535831,1.1321876377694e-135,3.87420457299216e-133,1044.3653196647,1020.13966109204,1010.81513283731,1360.5738333716,1335.30682299859,1075.13003897592,91.4416840289692,89.4902420989505,91.2634992891706,73.8480107159814,49.8112704513614,78.6829428795153
DCAF12L1,22.8837797464659,-3.7836204983986,1.34836139878373,0.00016031984308732,0.000395650728376414,13.7675277545252,12.1530303003256,9.39008593346134,175.865756016971,185.630211184904,177.277389527613,0,0,0,11.3612324178433,11.7202989297321,5.0763188954526
CLYBL-AS2,3.20990254955844,-3.78391538660824,1.27832422909021,0.000175511589853773,0.000431005137676342,8.8505535564805,7.14884135313271,3.86650597260173,4.08990130272024,8.20465021811731,7.05581649861144,0,0.752018841167651,0.430488204194201,0,0,0
EMB,993.546018934713,-3.78414884350248,0.306864419700499,3.0519458749488e-36,6.04682882943715e-35,3207.83396680438,3070.4273611705,3163.90660158039,2522.10580334415,2430.62762711725,2642.40327872999,62.6411536261443,108.290713128142,85.667152634646,337.996664430838,284.217249046004,337.575206547598
MCEMP1,0.635813086299872,-3.78490430785948,2.50998260789627,0.0091577576773528,0.0171160866921393,0.983394839608944,2.85953654125309,2.20943198434384,1.36330043424008,1.02558127726466,2.64593118697929,0,0,0,0,0,0
