"",baseMean,log2FoldChange,lfcSE,pvalue,padj,GM25256_day0-1,GM25256_day0-2,GM25256_day0-3,GM25256_day60-1,GM25256_day60-2,GM25256_day60-3
CCDC150,436.294401048794,-3.23300184757713,0.209901187191251,1.39030352996572e-54,2.92898766294099e-53,909.418389467609,882.577611866814,857.239974088833,94.9985710329504,97.4938468900057,85.7874349387468
FOXM1,3584.001979008,-3.23451867701764,0.170572443312971,2.33111139578173e-81,8.89911067924966e-80,5362.53228384,5661.33420848385,5361.21631749372,533.957485461066,765.213333148301,427.675594768164
YBX3P1,4.19983990519636,-3.23464521400981,1.1977528982609,0.00167003844638858,0.00374023444113675,7.22908099735778,9.62811940218342,8.9720644290934,0,0,1.26157992556981
AFP,6.54785243119051,-3.23544001205145,0.828028121752326,1.23983595643144e-05,3.57970726054517e-05,34.6995887873174,19.2562388043669,19.5754132998401,1.09193759807989,2.26729876488385,2.52315985113961
PLAC8,15.3674273187926,-3.2368932195902,0.524703662317856,1.55364026679806e-10,6.61941203286354e-10,49.1577507820329,47.0708059662301,53.0167443537337,2.18387519615978,3.40094814732578,7.56947955341884
NCAPH,2824.18226849063,-3.24060706914788,0.111703756555634,3.87619714394346e-186,8.96016385315152e-184,3695.5062058493,3714.31450715343,3627.16095601621,386.545909720281,456.860701124097,329.903150536504
ANO2,79.4784770859707,-3.24114546187983,0.267428240081441,1.07276489886567e-34,1.32097479354077e-33,167.714679138701,188.28322386492,179.441288581868,22.9306895596777,14.737441971745,17.6621189579773
SLC29A1,2188.92194312278,-3.24118186246016,0.161460443982693,1.5264959515138e-90,6.94234617406233e-89,5385.66534303155,5500.8655517808,5119.78622012903,539.417173451465,634.843654167479,505.893550153492
CNN1,325.002288587947,-3.24842714613799,0.354092358480092,5.10679100249533e-21,3.75536245769281e-20,945.563794454398,994.905671558954,964.089105017127,55.6888175020744,122.434133303728,113.542193301283
ABCG2,184.813014870378,-3.24962920331625,0.323960922052224,1.22476871317889e-24,1.04590567460714e-23,115.665295957725,156.189492524309,127.240186448961,8.73550078463911,21.5393382663966,11.3542193301283
AJUBA,2247.32498010779,-3.24977120668431,0.134035217352925,4.71797760615133e-131,4.49253333531194e-129,2761.50894099067,3108.81277586056,2506.46854460037,333.040967414366,307.218982641762,240.961765783833
IL20RB-AS1,1.18498180002381,-3.25086235950125,3.63923090736684,0.00997679134755675,0.0196141763380496,7.22908099735778,4.27916417874819,4.07821110413336,0,0,0
CLSPN,2321.12843037382,-3.2518342685779,0.159507925433979,1.48621785622214e-93,7.15733478518015e-92,3024.6474892945,3181.55856689928,3182.63594566568,382.178159327961,351.431308556997,249.792825262822
IL21R,7.02511277441643,-3.25300505580778,0.958911833091335,9.44852922872724e-05,0.000248935546838925,21.6872429920734,16.0468656703057,18.7597710790135,0,2.26729876488385,1.89236988835471
FZD8,235.621347861683,-3.25480327322242,0.238445864601402,1.11724476981042e-43,1.80471374431352e-42,644.834024964314,629.037134275984,644.357354453071,64.4243182867135,88.4246518304703,47.3092472088677
KLF16,585.764147579559,-3.25558983861964,0.204221190468264,1.01503706967653e-58,2.35283627257386e-57,1340.27161691013,1298.72632825008,1238.96053343572,141.951887750386,175.715654278499,86.4182249015317
MCM10,2784.16337425825,-3.25561547777174,0.17334185943327,5.44300897096239e-80,2.00923760670394e-78,2956.69412791933,3093.83570123494,2942.83713274264,396.373348103,325.357372760833,215.730167272437
CD109,371.724562175111,-3.25567446182395,0.181025455217568,1.86195613971369e-73,6.01823007627034e-72,1489.1906854557,1461.33456704251,1479.57498857958,149.595450936945,176.849303660941,134.358262073184
CCDC144A,14.5626111181951,-3.25576825895166,0.538406306869916,2.10620191148728e-10,8.90460086645192e-10,37.5912211862605,49.2103880556042,62.8044510036538,6.55162558847934,3.40094814732578,4.41552973949432
TEX11,7.67656324602665,-3.25714269878076,0.769668423944442,4.25322495281738e-06,1.28663893473405e-05,40.4828535852036,22.465611938428,22.8379821831468,1.09193759807989,0,5.04631970227923
CDCA5,2575.55784463157,-3.25763477402527,0.12864129802236,2.40780178215256e-142,2.69015667113965e-140,4406.84777598931,4420.37659664688,4246.23340162366,443.326664820435,480.667338155377,434.614284358798
AKR1E2,84.3812658796231,-3.25953259465991,0.266322776157352,4.27648604741758e-35,5.32463816260559e-34,199.522635527075,208.609253713974,201.463628544188,14.1951887750386,22.6729876488385,23.9700185858263
SOWAHD,34.6775796904397,-3.26091798426029,0.431395801753973,3.83609342833138e-15,2.13018852768077e-14,117.111112157196,154.049910434935,110.111699811601,16.3790639711983,11.3364938244193,10.0926394045585
HOXB13,5.48056445255327,-3.26237178260833,0.824821610051881,9.78837240343992e-06,2.85416847515006e-05,23.1330591915449,20.3260298490539,22.8379821831468,1.09193759807989,3.40094814732578,1.26157992556981
MECOM,91.9280290437509,-3.26455005298993,0.485131005193658,4.06735979731039e-12,1.91393746576231e-11,33.2537725878458,28.8843582065503,48.1228910287737,2.18387519615978,6.80189629465156,2.52315985113961
DSG2-AS1,9.22861476758134,-3.26610916485169,0.757836877039321,2.43945155911381e-06,7.55619049610726e-06,18.7956105931302,24.6051940278021,29.3631199497602,2.18387519615978,2.26729876488385,1.89236988835471
FEZF1-AS1,129.262562048283,-3.26867946876077,0.247020263737967,1.04677738727567e-40,1.55660534457436e-39,439.528124639353,419.358089517323,566.055701253711,60.0565678943939,28.3412345610482,54.8787267622866
LPO,14.601728340609,-3.26890952216201,0.613492729784367,1.01523594865139e-08,3.80378700278307e-08,57.8326479788623,79.1645373068415,50.5698176912537,10.9193759807989,1.13364938244193,5.04631970227923
SLC39A14,5856.90640724727,-3.27294057882569,0.191020646673708,3.77511747664742e-67,1.05975198980124e-65,13275.4843435478,16501.5268642977,14177.4930824092,1543.99976368496,1682.33568354382,1246.44096646297
ATP8B3,168.3027304354,-3.27439664397031,0.288821460873509,9.13482501014727e-31,9.89916148367657e-30,756.161872323624,497.452835779477,623.150656711578,46.9533167174352,71.4199110938414,68.7561059435544
JADE1,3842.26387372681,-3.27739016513066,0.121807946851102,1.25487791173475e-160,1.99341222016708e-158,11459.5391970116,9995.05773051108,10306.4551023658,1085.38597249141,1271.95460709984,908.33754641026
NASP,21912.2614580727,-3.28104534310083,0.173868116333126,2.05801159693867e-80,7.69012627716725e-79,44197.155401646,39708.5039966938,41712.7588152969,5186.70359087947,4726.18427540039,2880.18697007587
CLEC6A,2.12873464344541,-3.28134902261423,1.96286527833953,0.00413163646342315,0.008711889216219,5.78326479788623,9.62811940218342,12.2346333124001,1.09193759807989,0,0
