"",baseMean,log2FoldChange,lfcSE,pvalue,padj,NCRM_day0-1,NCRM_day0-2,NCRM_day0-3,NCRM_day14-1,NCRM_day14-2,NCRM_day14-3
GVINP2,2.61072941864671,-5.44490049782229,2.69240902376194,0.000246742985128375,0.000707996419849746,8.19755936311174,10.2808807525018,8.79259891207427,0,0,0
SV2B,233.672775895365,-5.44594711674625,0.972895862975348,3.76096861119261e-08,1.62099669272867e-07,22.7709982308659,29.4718581571719,56.2726330372753,0,0.888083109484416,1.0949118976243
DAZL,11.4325366156158,-5.44994777561292,0.910579391026726,1.01946484699048e-09,5.00206394424278e-09,56.4720756125476,53.1178838879261,51.5832469508357,1.0132706866499,0,2.1898237952486
VWDE,106.263612915395,-5.45207018082743,0.315786052121064,1.25972395754049e-67,5.46076600285853e-66,469.993403485073,565.791137412684,483.00676690328,10.132706866499,7.99274798535975,16.4236784643645
HCK,16.1848539988164,-5.45429463236102,0.805673728610522,5.69239149216047e-12,3.32324848388559e-11,81.0647537018828,65.7976368160117,58.6173260804951,0,0.888083109484416,3.2847356928729
TEX13C,2.20079936699742,-5.45970237677068,2.79557969934831,0.000400876799871497,0.00111474833537408,6.37587950464246,13.022448953169,9.96494543368417,0,0,0
GALR1,20.0691210520743,-5.4619075427802,1.31614377374737,1.82283220578467e-06,6.66527661108756e-06,18.2167985846928,26.3875939314214,22.8607571713931,0,0.888083109484416,0
FOXA3,120.935240546105,-5.47293565026812,0.279057079180734,5.54073202195114e-86,3.7609407846561e-84,566.542435983945,556.195648710349,624.274522757273,15.1990602997485,14.2093297517507,8.75929518099441
BCL2L14,10.2437384393955,-5.47461094469283,1.07288093941581,2.15633333774283e-07,8.66206073749753e-07,34.6119173109162,40.7808269849239,41.6183015171515,2.0265413732998,0,0
NLRP10,2.38975014352147,-5.49592610602182,2.97517848517328,0.000708508607389485,0.00189648884713373,8.19755936311174,9.93818472741844,15.8266780417337,0,0,0
CHST9,258.795696355766,-5.49640977206215,0.306978774904946,1.61906183678483e-72,8.14800920754466e-71,662.180628553582,624.734853727028,556.278424503899,11.1459775531489,13.3212466422662,15.3287665667402
RASD2,199.243160075195,-5.5173911240429,0.486787513263885,7.80636725598882e-30,1.12042909094466e-28,125.69591023438,171.348012541697,181.713710849535,5.06635343324951,1.77616621896883,3.2847356928729
HMCN2,86.0859246136034,-5.51821897748003,0.390377116257032,6.21059708855278e-46,1.52686322415569e-44,300.57717664743,337.898280732227,313.016521269844,10.132706866499,4.44041554742208,5.47455948812151
PMAIP1,1126.59748736361,-5.53668821294303,0.388239132937452,2.64120870164835e-47,6.77463946238466e-46,4406.64357763718,4608.57614532149,5697.01792176332,123.619023771288,105.681890028646,75.5489209360768
MEG3,1029.18633617787,-5.53853932051906,0.352852892990387,6.35869020191095e-57,2.14240131137024e-55,2651.45503400203,2743.62437681766,2381.62195865052,35.4644740327466,57.7254021164871,67.8845376527067
IL17C,5.48339327606441,-5.54052041634739,1.44444600085842,6.44103798226907e-06,2.23147126909683e-05,18.2167985846928,19.5336734297535,38.6874352131268,0,0.888083109484416,0
TRPM6,16.8725823158094,-5.54569896548431,0.805755834857105,2.67344583638921e-12,1.59216772152176e-11,61.9371151879554,60.6571964397608,95.546241511207,0,0.888083109484416,3.2847356928729
TRPM2,10.3277613450307,-5.54899191402659,2.4390073629699,2.02256666512264e-05,6.65894123865646e-05,6.37587950464246,10.9662728026686,5.86173260804951,0,0,0
METTL7B,8.62172750054465,-5.54906921631357,1.08751854224431,2.02448098568254e-07,8.14533841716715e-07,33.7010773816816,36.6684746839232,53.3417667332506,0,0.888083109484416,1.0949118976243
FA2H,12.3683603281246,-5.55060803957156,0.917240075134049,8.25865401290793e-10,4.08819532513745e-09,57.3829155417822,71.2807732173461,41.0321282563466,0,1.77616621896883,1.0949118976243
VIL1,29.7963221795529,-5.56938926591108,0.60839854244688,2.18399501929764e-20,2.07442257293697e-19,131.160949809788,139.477282208942,139.509236071578,5.06635343324951,2.66424932845325,0
PLA2G2A,20.8063470742407,-5.57017819785535,1.16875300883036,2.56221606180955e-07,1.02260824609436e-06,73.7780342680057,67.5111169414287,53.3417667332506,1.0132706866499,0.888083109484416,1.0949118976243
FNDC7,15.4054501372531,-5.59066201951727,0.807275380033544,2.23860146475599e-12,1.34036744329086e-11,81.9755936311174,68.5392050166789,73.2716576006189,3.0398120599497,0.888083109484416,0
VWC2,460.508673561862,-5.59292748751604,0.717430446038655,1.0938919055062e-14,7.59177349881234e-14,55.5612356833129,72.994253342763,84.9951228167179,1.0132706866499,1.77616621896883,1.0949118976243
PIK3R5-DT,5.54760292122627,-5.60196562540324,1.4204586722458,3.80974576267629e-06,1.35081188145345e-05,27.3251978770391,25.7022018812546,26.3777967362228,1.0132706866499,0,0
VENTX,98.9276275638502,-5.61858382735529,0.320288838922334,3.24208915830175e-69,1.49383015356851e-67,469.993403485073,514.386733650175,458.973663210277,5.06635343324951,12.4331635327818,10.949118976243
TSHZ3-AS1,3.88940237472812,-5.63557823801021,2.52981096593627,4.09047872814971e-05,0.000129981757255545,9.10839929234638,7.53931255183468,9.96494543368417,0,0,0
RAB37,58.396289675392,-5.65369960874908,0.416014087781823,3.44656236580002e-42,7.52887210676724e-41,269.608619053453,259.078194963046,300.70688279294,6.07962411989941,7.99274798535975,1.0949118976243
ARTN,30.0329886454787,-5.66797869110174,0.602311039167632,2.84417180878943e-21,2.83805311719648e-20,146.645228606777,123.370569030022,116.648478900185,4.05308274659961,0.888083109484416,2.1898237952486
SIX6,13.1882990070984,-5.73314270675541,0.913351913827498,1.72242486687088e-10,8.97492680116392e-10,55.5612356833129,61.685284515011,77.3748704262535,1.0132706866499,0,2.1898237952486
TDRD5,18.524524361296,-5.73406439488702,0.834449333090516,2.56053750129007e-12,1.52623171259162e-11,62.84795511719,83.6178301203483,101.994147380061,2.0265413732998,0.888083109484416,1.0949118976243
STPG3-AS1,2.94183280141709,-5.73519183836192,2.66680749859914,0.000100002015971001,0.000302736441256712,10.019239221581,13.3651449782524,7.03407912965941,0,0,0
PSKH2,2.47200454845401,-5.7402476961223,2.90586956389714,0.000370345013239593,0.00103543316440204,9.10839929234638,11.308968827752,15.8266780417337,0,0,0
ANKRD24,158.256191327459,-5.75378329105015,0.3133473360173,1.73745843304574e-75,9.38902294983748e-74,459.974164263492,499.650804571589,457.215143427862,13.1725189264487,6.21658176639092,6.56947138574581
IL20RA,14.9214651042583,-5.7573721693366,0.919855066393025,2.71781915768894e-10,1.3957724148087e-09,64.6696349756593,64.4268527156782,64.4790586885446,0,2.66424932845325,0
ITGAM,6.30036388783257,-5.78011939138068,1.39352869042373,1.57913716005194e-06,5.8116089876019e-06,26.4143579478045,37.0111707090066,22.8607571713931,0,0.888083109484416,0
CYP2S1,1112.87162161949,-5.78686775342038,0.173390549421184,7.48757865614141e-245,5.48366615790567e-242,5122.5637620156,5172.31110658367,5889.28275130734,88.1545497385414,116.338887342459,85.4031280146955
PSMB8,99.3592159513255,-5.79538529854876,0.404277071970071,7.14574857017635e-47,1.80295723216689e-45,297.844656859727,315.96573512689,301.87922931455,3.0398120599497,4.44041554742208,8.75929518099441
RTBDN,34.3928778626226,-5.80239121309938,0.993852770557604,8.9740002615399e-09,4.07815851206165e-08,31.8793975232123,59.6291083645106,45.7215143427862,0,0.888083109484416,1.0949118976243
GNA14,92.6378534419786,-5.80787427116113,0.426727618870833,7.81989967332437e-43,1.74661162045439e-41,343.386653321458,379.364499767318,434.354386256469,3.0398120599497,7.99274798535975,8.75929518099441
CHST13,10.526724540692,-5.82226121513673,1.06244976838641,3.53639897567669e-08,1.52775509924064e-07,47.3636763202012,45.5785713360915,53.3417667332506,0,0.888083109484416,1.0949118976243
KRTDAP,2.70293781494343,-5.82786931564181,2.62013097324704,5.12247083438808e-05,0.000160737809585095,13.6625989385196,10.2808807525018,7.03407912965941,0,0,0
KCNG3,71.4506339450244,-5.83797582342499,0.427862405826751,5.60778395905894e-43,1.25757153570194e-41,323.348174878296,334.12862445631,296.0174967065,10.132706866499,0.888083109484416,5.47455948812151
TREML2,2.56007242953188,-5.83960849185256,2.88496250351878,0.000280004459251901,0.000796863084260191,10.019239221581,10.9662728026686,16.4128513025386,0,0,0
HTR2C,182.865611387917,-5.84109227722301,0.515975476625493,1.04018443345324e-29,1.48605404430204e-28,162.129507403766,185.398549570116,194.609522587244,4.05308274659961,2.66424932845325,2.1898237952486
VIPR1,32.4928111406947,-5.84276889540723,0.651134535756389,2.35942974393981e-19,2.13746516190902e-18,132.982629668257,120.629000829355,120.75169172582,1.0132706866499,3.55233243793767,1.0949118976243
DUSP13,10.945244996598,-5.8431024378212,1.04429160617884,2.29982466825918e-08,1.00762154467338e-07,43.7203166032626,47.9774435116752,54.5141132548605,1.0132706866499,0.888083109484416,0
CALB2,200.180963176829,-5.85172261701233,0.722641510653947,9.36339910637653e-16,6.93409784806969e-15,74.6888741972403,81.9043499949313,104.338840423281,0,0,4.37964759049721
